Gender,Race/Ethnicity,Home_City,Preferred_Langauge,Hobby_Interest,Budget,Fathers_Occupation,Mothers_Occupation,Study_Group,Degree_Program,Matric Grade,Inter Grade,Campus,University
female,group B,Karachi,Punjabi,Reading,High,Doctor,House Wife,CS,BSCS,A+,A+,Karachi,FAST NUCES
female,group C,Karachi,Urdu,Reading,Medium,Engrr,House Wife,Pre-Engrr,BSEE,B,B,Islamabad,FAST NUCES
female,group B,Lahore,Urdu,Sports,Medium,Engrr,House Wife,Pre-Engrr,BSCS,B,A,Lahore,FAST NUCES
male,group A,Karachi,Urdu,Sports,High,Doctor,House Wife,Pre-Engrr,BSCS,A+,A+,Islamabad,FAST NUCES
male,group C,Peshawar,Urdu,Gaming,High,Doctor,House Wife,CS,BSEE,A+,A+,Peshawar,FAST NUCES
female,group B,Karachi,Urdu,Reading,Low,Teacher,House Wife,CS,BSEE,B,B,Islamabad,FAST NUCES
female,group B,Karachi,English,Gaming,High,Doctor,Doctor,Pre-Engrr,BSSE,B,B-,Islamabad,FAST NUCES
male,group B,Peshawar,Pashto,Sports,High,Doctor,Doctor,Pre-Engrr,BSCS,B-,A,Peshawar,FAST NUCES
male,group D,Peshawar,Pashto,Gaming,High,Army,Doctor,Pre-Engrr,BSEE,A+,B-,Peshawar,FAST NUCES
female,group B,Karachi,English,Sports,High,Army,Doctor,CS,BSCS,A+,A+,Karachi,FAST NUCES
male,group C,Peshawar,Pashto,Gaming,Medium,Engrr,House Wife,CS,BSCS,A,B+,Islamabad,FAST NUCES
female,group C,Lahore,English,Sports,High,Army,House Wife,Pre-Engrr,BSEE,A,B-,Islamabad,FAST NUCES
male,group B,Kohat,Hinko,Reading,Medium,Engrr,House Wife,Pre-Engrr,BSCS,B-,A,Peshawar,FAST NUCES
male,group A,Kohat,Urdu,Writing,Low,Teacher,House Wife,CS,BSCS,A+,A,Peshawar,FAST NUCES
male,group D,Islamabad,Urdu,Gaming,High,Retired,Doctor,CS,BSCS,A,A-,Islamabad,FAST NUCES
male,group C,Lahore,Urdu,Gaming,Medium,Engrr,House Wife,CS,BSCS,A+,A+,Islamabad,COMSATS
male,group D,Lahore,Urdu,Gaming,Medium,Engrr,House Wife,Pre-Med,BSSE,A,A,Islamabad,COMSATS
female,group B,Karachi,Urdu,Writing,Low,Teacher,House Wife,Pre-Engrr,BSCS,A,A,Lahore,COMSATS
male,group A,Karachi,Urdu,Sports,Medium,Engrr,House Wife,Commerce,BSSE,A,B-,Lahore,COMSATS
female,group A,Lahore,English,Writing,Medium,Doctor,House Wife,CS,BSSE,B,A,Lahore,COMSATS
female,group C,Lahore,Punjabi,Gaming,Medium,Teacher,Teacher,CS,BSCS,A,B-,Lahore,COMSATS
male,group C,Karachi,English,Sports,Medium,Teacher,Teacher,Pre-Engrr,BSCS,A+,A+,Islamabad,COMSATS
female,group B,Peshawar,Pashto,Writing,Medium,Doctor,House Wife,Pre-Engrr,BSSE,A+,A,Lahore,COMSATS
male,group C,Peshawar,Pashto,Sports,Medium,Doctor,House Wife,Pre-Engrr,BSCS,A+,B,Islamabad,COMSATS
female,group C,Karachi,Urdu,Sports,Medium,Teacher,Teacher,Pre-Engrr,BSCS,A,A,Lahore,COMSATS
male,group D,Karachi,Urdu,Gaming,Medium,Doctor,Teacher,CS,BSCS,B+,A,Islamabad,NUST
female,group B,Karachi,Urdu,Sports,High,Doctor,Doctor,Pre-Med,BSEE,A,A,Islamabad,NUST
