Gender,Race/Ethnicity,Home_City,Preferred_Langauge,Hobby_Interest,Budget (in millions),Fathers_Occupation,Mothers_Occupation,Study_Group,Degree_Program,Matric_Marks,Inter_Marks,Year_of_Admission,Campus,University
male,Punjabi,Peshawar,Urdu,Nothing,1.5,Doctor,House Wife,CS,BSCS,990,800,2019,Peshawar,FAST NUCES
male,Pashtun,Kohat,Pashto,Reading,1.2,Engrr,House Wife,Pre-Engrr,BSEE,900,924,2020,Islamabad,COMSATS
male,Punjabi,Islamabad,Punjabi,Gaming,7,Army,Doctor,Pre-Engrr,BSMech,930,950,2019,Lahore,LUMS
female,Punjabi,Islamabad,Urdu,Nothing,0.7,Engrr,House Wife,Pre-Med,MBBS,890,900,2019,Peshawar,KMC
female,Other,Lahore,Urdu,Sports,8,Doctor,Teacher,Pre-Engrr,BSEE,900,950,2019,Lahore,LUMS
male,Other,Kohat,Hinko,Reading,7,Army,Doctor,Pre-Engrr,BSCS,870,800,2019,Lahore,LUMS
male,Other,Karachi,Urdu,Writing,2,Teacher,House Wife,CS,BSCS,900,870,2020,Islamabad,FAST NUCES
male,Punjabi,Islamabad,Punjabi,Gaming,2,Retired,Doctor,CS,BSCS,930,800,2019,Peshawar,FAST NUCES
male,Other,Faisalabad,Urdu,Gaming,1,Retired,House Wife,CS,BSCS,890,900,2019,Peshawar,UOP
male,Other,Lahore,Urdu,Gaming,8,Engrr,Doctor,CS,BSIT,900,910,2019,Lahore,LUMS
female,Sindhi,Sialkot,Urdu,Writing,8,Engrr,Doctor,Pre-Engrr,BSCS,780,800,2019,Lahore,LUMS
male,Baloch,Mardan,Urdu,Sports,3,Army,House Wife,Pre-Med,MBBS,900,900,2019,Lahore,UHS
female,Kashmiris,Abbotabad,Urdu,Writing,1,Doctor,Doctor,Pre-Med,MBBS,800,900,2019,Peshawar,KMC
female,Brahuis,Lahore,Urdu,Gaming,2,Teacher,Teacher,CS,BSCS,803,910,2019,Islamabad,FAST NUCES
male,Muhajirs,Quetta,Urdu,Sports,2,Teacher,House Wife,Pre-Engrr,BSSE,900,700,2019,Islamabad,FAST NUCES
male,Punjabi,Karachi,Urdu,Nothing,3,Doctor,House Wife,Pre-Med,MBBS,900,920,2020,Lahore,UHS
male,Other,Karachi,Urdu,Gaming,7,Doctor,Teacher,Pre-Med,MBBS,1010,900,2019,Karachi,Aga Khan
female,Punjabi,Lahore,Punjabi,Writing,3,Engrr,Doctor,Pre-Engrr,BSMech,980,950,2019,Islamabad,NUST
male,Kashmiris,Other,Urdu,Sports,3,Engrr,House Wife,Pre-Engrr,BSEE,800,870,2019,Peshawar,UET
female,Pashtun,Peshawar,Pashto,Writing,2,Engrr,Teacher,Pre-Engrr,BSEE,900,970,2020,Peshawar,IMsciences
female,Pashtun,Kohat,Hinko,Gaming,2,Engrr,House Wife,Pre-Med,MBBS,900,910,2019,Peshawar,KMC
male,Pashtun,Peshawar,Urdu,Sports,2,Engrr,House Wife,CS,BSCS,900,870,2019,Peshawar,FAST NUCES
male,Punjabi,Lahore,Urdu,Writing,3,Doctor,House Wife,Pre-Med,MBBS,980,1002,2019,Lahore,UHS
female,Other,Lahore,Urdu,Sports,7,Doctor,Teacher,CS,BSCS,970,1000,2019,Lahore,LUMS
male,Sindhi,Other,Urdu,Gaming,2,Engrr,House Wife,Pre-Engrr,BSEE,890,900,2019,Peshawar,UET
male,Baloch,Other,Urdu,Sports,2,Engrr,Teacher,Pre-Engrr,BSEE,700,890,2019,Peshawar,IMsciences
male,Kashmiris,Other,Urdu,Nothing,0.6,Engrr,House Wife,Pre-Med,MBBS,800,820,2019,Peshawar,KMC
female,Brahuis,Other,Urdu,Gaming,1.3,Engrr,House Wife,CS,BSCS,970,868,2019,Peshawar,FAST NUCES
male,Muhajirs,Islamabad,Urdu,Writing,2.5,Doctor,House Wife,Pre-Med,MBBS,980,987,2020,Lahore,UHS
female,Punjabi,Islamabad,Urdu,Sports,6.5,Doctor,Teacher,Pre-Med,MBBS,978,992,2020,Karachi,Aga Khan
male,Punjabi,Islamabad,Urdu,Gaming,2,Engrr,House Wife,Pre-Engrr,BSEE,780,882,2019,Peshawar,UET
male,Baloch,Other,Urdu,Sports,2,Engrr,Teacher,Pre-Engrr,BSEE,700,890,2019,Peshawar,IMsciences
male,Kashmiris,Other,Urdu,Nothing,2,Engrr,House Wife,Pre-Med,MBBS,800,820,2019,Peshawar,KMC
female,Brahuis,Other,Urdu,Gaming,2,Engrr,House Wife,CS,BSCS,970,868,2019,Peshawar,FAST NUCES
male,Other,Karachi,Urdu,Gaming,6.5,Doctor,Teacher,CS,BSCS,1010,900,2019,Karachi,Aga Khan
female,Other,Islamabad,Punjabi,Writing,2,Engrr,Doctor,Pre-Engrr,BSMech,980,950,2019,Islamabad,NUST
male,Other,Peshawar,Urdu,Gaming,1,Retired,House Wife,CS,BSCS,893,980,2019,Peshawar,UOP
male,Other,Kohat,Hinko,Reading,7,Army,Doctor,Pre-Engrr,BSCS,980,970,2019,Lahore,LUMS
male,Other,Karachi,Urdu,Writing,2,Teacher,House Wife,CS,BSCS,965,978,2020,Islamabad,FAST NUCES
male,Punjabi,Islamabad,Punjabi,Gaming,2,Retired,Doctor,CS,BSCS,946,890,2019,Peshawar,FAST NUCES
male,Pashtun,Peshawar,Pashto,Gaming,2,Engrr,House Wife,Pre-Engrr,BSEE,640,740,2019,Peshawar,UET
male,Punjabi,Islamabad,Punjabi,Nothing,2,Retired,Doctor,CS,BSCS,780,800,2019,Peshawar,FAST NUCES
male,Pashtun,Peshawar,Pashto,Gaming,2,Engrr,House Wife,Pre-Engrr,BSMech,698,760,2019,Peshawar,UET
male,Punjabi,Islamabad,Urdu,Nothing,1,Doctor,House Wife,CS,BSCS,920,950,2020,Islamabad,COMSATS
male,Pashtun,Peshawar,Urdu,Nothing,1,Doctor,House Wife,CS,BSCS,920,950,2020,Islamabad,COMSATS
male,Punjabi,Lahore,Punjabi,Gaming,1.5,Engrr,Doctor,CS,BSCS,920,960,2019,Islamabad,COMSATS
male,Other,Karachi,Urdu,Gaming,2,Doctor,Teacher,CS,BSCS,880,920,2019,Islamabad,COMSATS
male,Other,Kohat,Hinko,Writing,1,Retired,House Wife,Pre-Engrr,BSCS,900,984,2019,Peshawar,UOP
male,Other,Peshawar,Pashto,Writing,1.6,Engrr,House Wife,Pre-Engrr,BSEE,910,984,2019,Peshawar,UOP
male,Other,Kohat,Urdu,Nothing,1,Engrr,House Wife,Pre-Engrr,BSEE,850,900,2019,Peshawar,UOP
male,Other,Peshawar,Urdu,Gaming,1,Engrr,House Wife,Pre-Engrr,BSMech,800,890,2019,Peshawar,UOP
